FID,Planet,planet_norm,Region,Sector,System,Grid,X,Y,arcgis_hash,deleted,Canon,Legends,zm,name0,name1,name2,lat,long,ref,status,CRegion,CRegion_li
2404,Bethany,bethany,Outer Rim, ,Kalinda system,O-16,0,0,6414aa95098aa967306eb9b40bca6d49cf7181770c43a2d5659f766c1d2b7e17,0,0,1,0, , , ,0,0, , , , 
2405,Bethars,bethars, , , ,M-12,0,0,157820a1dd744fc49dcad9999903f64443c4f3a7b101db9dd71d44d4842a6979,0,0,1,0, , , ,0,0, , , , 
2406,Betolio,betolio,Colonies,Tapani sector,Betolio system,L-13,0,0,e725aadc2109ebf8c8455c476490ff766efb78c58c43ceb3f22d0b094272f420,0,0,1,0, , , ,0,0, , , , 
2407,Bettok,bettok,Outer Rim,Velcar Sector, ,J-4,-1786.33,7857.22,e4bf80cf3f1832db068e9daa19f0edbcce2956987e8f5143f27c9acf11a6754d,0,0,1,2, , , ,57.4720574034,-16.0468899352, , ,New Territories,https://starwars.fandom.com/wiki/New_Territories
2408,Bevel III,bevel iii,Inner Rim, ,Bevel system,L-8,0,0,e6f604a420fba0c7218e07fbf54247cf0dbb85cabb872582c64292f3fe844506,0,0,1,0, , , ,0,0, , , , 
2409,Bezim,bezim,Mid Rim,Vorc Sector,Bezim system,J-7,-1948.52,3236.4,a9337e2d238ad153fc09bdf9c02669beea74ab0a3e7e46522b57257054653486,0,0,1,2, , , ,27.9001961159,-17.5038666653, , ,New Territories,https://starwars.fandom.com/wiki/New_Territories
2410,Bhuna Sound,bhuna sound,Mid Rim,Yushan Sector, ,K-17,-767.29,-11273.6,3b318214e91fdb2b1b52b972eb31faa5df30588b9300d53da0a6939311143bcc,0,0,1,3, , , ,-70.6200810755,-6.89265522625, , ,Western Reaches,https://starwars.fandom.com/wiki/Western_Reaches
2411,Bianas,bianas,Colonies,Tapani sector,Bianas system,L-13,0,0,b752a7d851635de9ff760128604d1c53ed3fd7db45f3ff824850107bb4af067f,0,0,1,0, , , ,0,0, , , , 
2412,Bid'jerma,bid jerma,Outer Rim,Prefsbelt Sector,Bid'jerma system,J-5,-1654.83,6200.4,dfe48b90ced7028d19e2d79c66a8260f7bd298a1ee7e9cf9f4e394c686feca39,0,0,1,2, , , ,48.5592129473,-14.8656216886, , ,New Territories,https://starwars.fandom.com/wiki/New_Territories
2413,Biivren,biivren,Expansion Region, ,Biivren system,P-9,0,0,ee4315578dcb25384664857517e88664692ab68557f04a49da7852690a613d95,0,0,1,0, , , ,0,0, , , , 
2414,Bilagen,bilagen,Core Worlds,Corellian sector,New Plympto system,M-11,0,0,8ff4d41fd39a6332805a73f44c6db5b3060fe67f761792c284c9a9d2155a5356,0,0,1,0, , , ,0,0, , , , 
2415,Bilios,bilios,Colonies,Tapani sector,Bilios system,L-13,0,0,6a85d908ef93a018e26709be97b58544d5d4a916545c6dcb456435b2368abbfb,0,0,1,0, , , ,0,0, , , , 
2416,Bilzen,bilzen, , , ,L-13,0,0,8ec9c8716eb63f25ef33517fee0aa95f3bd5f370173a1be1e733b729a61de2cc,0,1,0,0, , , ,0,0, , , , 
2417,Binaros,binaros,Outer Rim,Kathol sector,Binaros system,M-21,0,0,817da2ffa1a33bf199deb6874d823327aa661d5262a222fd5f1a06d13d268064,0,0,1,0, , , ,0,0, , , , 
2418,Binquaros,binquaros, , , ,N-5,0,0,3cff2d4283039a2f14491b79a3c5fc1007e1d51dcafd79a8aa5f93252addee13,0,0,1,0, , , ,0,0, , , , 
2419,Biolag,biolag,Core Worlds,Bormea sector,Corulus system,L-9,0,0,1ee9f603bc7e0c1ade883e5ebc78a723b3b6e839d0a762b4ece0f9473e3a1a59,0,0,1,0, , , ,0,0, , , , 
2420,Biosh,biosh,Outer Rim,Anoat sector,Hoth system,K-18,0,0,6ad6a099b079896ac2396c16c47954a01b98d3c41280681be0448661656f8a69,0,0,1,0, , , ,0,0, ,in other system, , 
2421,Birren,birren,Inner Rim, , , ,0,0,2ffd1af4ff05d70f261e8ad65d72f5b033755dcdf975cf4b236c2634d967dcb8,0,1,0,0, , , ,0,0, , , , 
2422,Blyte,blyte,Colonies,Tapani sector,Blyte system,L-13,0,0,a267754a74ae0504f6b2a7e21f50e36e2812d0dcce1af796e0e0208beb36bee9,0,0,1,0, , , ,0,0, , , , 
2423,Bnach,bnach,Outer Rim,Calaron sector,Bnach system,T-9,0,0,04ff636dce6b1f685dcb46fa804bb7bbf3c846424297436d4515594f9cff1836,0,0,1,0, , , ,0,0, , , , 
2424,Boden,boden,Core Worlds, , ,M-18,0,0,eebcc0c57df3ee2908090f5e197494bfe043ccd45172781712309e412f3d6186,0,0,1,0, , , ,0,0, , , , 
2425,Bodrin,bodrin,Outer Rim,Elrood sector,Bodrin system,M-20,0,0,847ada526c672cb287efb09cae1d6dba30810ca1c4004bfdeb0ef9898adc420c,0,0,1,0, , , ,0,0, , , , 
2426,Bogano,bogano,Outer Rim, , , ,0,0,3b09537321666e0f2720b79170e1d5b767b2e0b15c5ca2ad6f08a201aa01a3ab,0,1,0,0, , , ,0,0, ,mi, , 
2427,Bogoa,bogoa,Expansion Region,Immerian Outback,Bogoa system,N-14,0,0,3805fa7245a549c39d6b71bf5469f0a285b666b98acd7107d6ed8c46fe1b8556,0,0,1,0, , , ,0,0, , , , 
2428,Bolad,bolad,Outer Rim,Tharin sector,Bolad system,S-8,0,0,e84f650620a4be91f18af339fa5c84702f00afc60427d055249a2ea0260b659d,0,0,1,0, , , ,0,0, , , , 
2429,Boledge,boledge, , ,Boledge system,N-12,0,0,aa4f9ef2ad4f896867a325d0bc41cc06df2a3b61803b33925b2891b882c91ba6,0,0,1,0, , , ,0,0, , , , 
2430,Bonagal,bonagal,Outer Rim,Mandalore sector,Mandalore system,O-7,0,0,d3a58f13f718635d28224fc0b03fda8f7bde4b91b416e79f78565073309569d5,0,0,1,0, , , ,0,0, , , , 
2431,Boothi XII,boothi xii, , , ,N-7,0,0,426756bdd12a8afcc05eb8bff81705d13d3b3c4809fb2735cd6ed0442f352d33,0,1,0,0, , , ,0,0, , , , 
2432,Boranall,boranall, , , ,P-15,0,0,9bdaa9448c533d3fa1c7e1c2ee151cd7fc603cbead7d5071b5a14939f25bccd3,0,0,1,0, , , ,0,0, , , , 
2433,Borcorash,borcorash, , , ,N-6,0,0,da3ca08e450c945e46becfaabf0f121961ac919ee4ee2d00123615e19a2acf72,0,0,1,0, , , ,0,0, , , , 
2434,Bordal,bordal,Outer Rim, ,Taroon system,N-20,0,0,719d240d007dc08200bb9a21c9810e04ca74108e4320d007e23231278d9e82a3,0,0,1,0, , , ,0,0, , , , 
2435,Borga,borga,Outer Rim,Yminis sector,Borga system,S-14,0,0,aa71bafe7046ba2df625c6d9932d4d8b179fb8da0e88d6a96d12fb7ddccebe06,0,0,1,0, , , ,0,0, , , , 
2436,Borlov,borlov,Outer Rim,Tunka Sector, ,J-19,-2927.57,-13723.71,d0c39b4b230a1c865a90be2e4ff4eb41e7e3d4b5018b4ef1241c94aab78bd3c6,0,0,1,2, , , ,-76.7338875098,-26.2988255438, , ,Western Reaches,https://starwars.fandom.com/wiki/Western_Reaches
2437,Bormter,bormter,Wild Space, ,Svekk system,H-14,-5889.61,-7088.77,94e6c4e9f674ca6a9af7d7f2069ee6efc2778d2f889d54888ab8908ee4a5171e,0,0,1,2, , , ,-53.5680591964,-52.9072618373, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
2438,Bosch,bosch, , , ,K-10,0,0,c46c0cc686aecf77477993164e0c31094d23c263329a09ea78163068f8e21619,0,0,1,0, , , ,0,0, , , , 
2439,Bota II,bota ii, , ,Bofa system,M-18,0,0,bb576e39c1352209b75489dff0e218361ba7a08d553a82396621a9b0351d11ec,0,0,1,0, , , ,0,0, , , , 
2440,Boztrok,boztrok,Outer Rim, , ,R-3,0,0,bbf9953887aa6f833821a117b7cbced7e666862c8d9642c364af0e3ffc108862,0,0,1,0, , , ,0,0, , , , 
2441,Bracca,bracca,Mid Rim, ,Bracca system,M-19,0,0,f16577c1259911613ef28bc3a25901234c2dca8adde17989bd89cdec3028e0ab,0,1,0,0, , , ,0,0, , , , 
2442,Brachnis Chorios,brachnis chorios,Outer Rim,Meridian sector,Chorios system,R-7,0,0,c5f9f340a69169b9034ec17a1a9e2a8b33640b6323fcf530d5c17065459fb55a,0,0,1,0, , , ,0,0, , , , 
2443,Bragkis,bragkis, , , ,R-6,0,0,47da6d5efc00b8c7906237a2eba68d44a6ffeeb5de7db6b97ee54f332afca1bd,0,0,1,0, , , ,0,0, , , , 
2444,Branteez,branteez,Outer Rim, , ,Q-17,0,0,fdf182f95c971c69c178e723701b87272d72754ffddedc5fbeb389384177954b,0,0,1,0, , , ,0,0, , , , 
2445,Branth,branth,Outer Rim, , , ,0,0,ac5ce5a2a6f29e5ac16783c328fd53bd2b76bd25b5dbd990491342b0d8570172,0,0,1,0, , , ,0,0, ,mi, , 
2446,Brath Qella,brath qella,Mid Rim,Mieru'kar sector,Qella system,O-3,0,0,2e0a3ef0a54b9a7947407c57126d18c6aaaeaa85b601bde7fff3d3a3847133f7,0,0,1,0, , , ,0,0, , , , 
2447,Bray,bray, , , ,O-3,0,0,5eef1d7800556e56a6cbc88a51817a5ec040455071794182c3498a20c21f1a87,0,1,0,0, , , ,0,0, , , , 
2448,Breeka,breeka,Outer Rim, , ,P-17,0,0,92a37712590abe36be16fcbb5f071a82368dfb79d5043668865b459b2dbef9e6,0,0,1,0, , , ,0,0, , , , 
2449,Brenu,brenu,Outer Rim, ,Beheboth system,O-17,0,0,c7e6d11b9c002194c6de62de55be5b1fe52116126b63167ce64e0d428c93e733,0,0,1,0, , , ,0,0, , , , 
2450,Bresallis,bresallis,Outer Rim,Cadma sector,Bresallis system,T-8,0,0,089d663e670b4dee0b8b279834120205818e086df3a4986329eb47c3e65457c5,0,0,1,0, , , ,0,0, , , , 
2451,Bresan,bresan,Outer Rim,Kathol sector,Bresan system,M-21,0,0,5e7258e141b00dc9eedaf222489d942c3d249c930ab3c826d9a45592dd5b1f90,0,0,1,0, , , ,0,0, , , , 
2452,Breshkall,breshkall,Outer Rim,Khuiumin sector,Breshkall system,O-19,0,0,94ad0c3abc72fe693c6555c610b5a4d342900b172783cb8a77ec72f9ba58cdac,0,0,1,0, , , ,0,0, , , , 
2453,Bresnan,bresnan,Outer Rim,Trax sector,Wellte-ir system,Q-10,0,0,b436aae89984dfbc3b23c5b8b086243d6dbaabca469bb85806b311b140ba162a,0,0,1,0, , , ,0,0, , , , 
2454,Bretta,bretta,Outer Rim,Corporate Sector, ,N-7,0,0,70b997fcc10fda0a7eb84cce6ceb0d03ff38fda6b37123739295afc4c03558ff,0,0,1,0, , , ,0,0, , , , 
2455,Bri'ahl,bri ahl,Outer Rim,Bri'ahl Sector,Bri'ahl system,I-17,-3660.95,-11606.76,db66687a521bb3e377aaacf4e4fb4484e8b36d38e380a7201eb6bf73aaaf7a31,0,0,1,1, , , ,-71.5890619618,-32.886900012, , ,Western Reaches,https://starwars.fandom.com/wiki/Western_Reaches
2456,Bri'n,bri n, , , , ,0,0,10835e6a312218b2d00bcca38e8bbb88b18e57b73256e3d426c1b7e52f430361,0,1,0,0, , , ,0,0, ,mi, , 
2457,Bridin Anchorage,bridin anchorage,Outer Rim,Portmoak sector,Gallienis system,P-18,0,0,2a2a917017d9b61ad38075099c2becb09b38e67266ae7ca880831c235907ab19,0,0,1,0, , , ,0,0, , , , 
2458,Brintooin,brintooin,Outer Rim,Seswenna sector,Brintooin system,M-18,0,0,5426c1007b2bc7871d7912e4321b89d6acba7a23e4342089683ed1f29b3d58bf,0,0,1,0, , , ,0,0, , , , 
2459,Brolsam,brolsam,Outer Rim,Kathol sector, ,M-21,0,0,22ad35203789087239100056e958d81216190e713b55f564506514a8623fdcbd,0,0,1,0, , , ,0,0, , , , 
2460,Bromlarch,bromlarch,Mid Rim,Vish sector,Bromlarch system,O-16,0,0,2b63146007f9564f62f475f848ee9a37f908dda5f738a3b3c7d40325c3cc6670,0,1,1,0, , , ,0,0, , , , 
2461,Bront,bront,Outer Rim,Svivreni sector,Bront system,O-19,0,0,3f7d61f61870653aabc85ac030ac8db74ffc00e06b379d88c4e7537e3d0a05af,0,0,1,0, , , ,0,0, , , , 
2462,Bryndar,bryndar, , , ,K-19,0,0,1734e2c28e6ef6986d81b277fbe78282f20648efd4212b9b3cf4d6b69ec93cde,0,0,1,0, , , ,0,0, , , , 
2463,Buamlon Central,buamlon central, , , ,Q-4,0,0,5d4d53e09a09134625a7118e0826d0f8f72a5f4c4dca67bf025134d872ee496c,0,0,1,0, , , ,0,0, , , , 
2464,Bundim,bundim,Outer Rim,Trax sector,Bundim system,Q-10,0,0,c846e40dbe9d7df7759fc908b301d36da4a7e3c1aaf75775acd08418ef29d8f1,0,0,1,0, , , ,0,0, , , , 
2465,Bursoll II,bursoll ii,Wild Space, ,Bursol II,H-17,-5673.64,-11434.27,5661584000fc5b3bcb7c33da32c3c655a020294135ceef48d9bf28f3984b7b69,0,0,1,2, , , ,-71.0933655499,-50.9671534622, , ,Western Reaches,https://starwars.fandom.com/wiki/Western_Reaches
2466,Butler's Cove,butler s cove,Mid Rim, ,Stribos system,M-10,0,0,a6b581353bbc189aba669f127b31c521d11eb6e4d6e1fec7f953580b7b65213c,0,0,1,0, , , ,0,0, , , , 
2467,Byss,byss,Outer Rim,Ash Worlds, ,S-7,11830.86,4249.51,af30a8c30bf19af138d022acb6ab0f3a965adc159eff46cdb1e2de25d227b59e,0,1,1,2, , , ,35.6276970849,106.278418897, , ,The Slice,https://starwars.fandom.com/wiki/The_Slice
2468,Caamor,caamor,Core Worlds, ,Cirius system,M-9,0,0,54f08fc27297cd1a2a40735fa4b37263b72943c9b532e85612c8d2918cbfae17,0,0,1,0, , , ,0,0, , , , 
2469,Caaraz,caaraz,Outer Rim,Stensen Sector, ,H-17,-4572.7,-10604.8,dbc46db93746d746008efbaa5e54aaa9ff239d60fa087e2438360f01f18164c2,0,0,1,2, , , ,-68.524982297,-41.0772999967, , ,Western Reaches,https://starwars.fandom.com/wiki/Western_Reaches
2470,Caarimon,caarimon,Outer Rim,Meridian sector,Caarimoos system,R-7,0,0,b8eae21fcb399f3b79d993b23b0df0b62a5b810363c9d7f77038c0fb0c05ca58,0,0,1,0, , , ,0,0, , , , 
2471,Cadezia,cadezia,Outer Rim,Arkanis sector,Issor system,R-17,0,0,80943c300e741caa95177e1b741997bc9ecaa1ed6749953b1d0495dfa817c927,0,0,1,0, , , ,0,0, , , , 
2472,Cadomai Prime,cadomai prime,Outer Rim,Catarlo sector,Cadomai system,R-3,0,0,1752cddfb5df96242717fa714d3855a201dfc0acf1c92d3cc0d02765865a1bcf,0,1,1,0, , , ,0,0, , , , 
2473,Calabosh-2,calabosh 2,Outer Rim, , ,K-15,0,0,4d289e58a9f801454c613a3425969838966d3e5c3e51b1330726b6d77011af8c,0,0,1,0, , , ,0,0, , , , 
2474,Calcoraan,calcoraan,Inner Rim, ,Calcoraan system,K-15,0,0,54b36b1e4a7c7cb202f7ef24fdfc17a203e4d6cc91475b05373893ea85cc0045,0,1,0,0, , , ,0,0, , , , 
2475,Calipp,calipp,Wild Space,Parthovian Cluster,Faarlsun system,T-4,0,0,15b127ec9787312529c2970b618a0da41363ed022163d6284bddbf4267f877ad,0,0,1,0, , , ,0,0, , , , 
2476,Calipsa,calipsa,Colonies,Tapani sector,Calipsa system,L-13,0,0,c98c6c3727137fe4d7719b2f64e69f12676edcb50e7fc7abf65e617f119db3c0,0,0,1,0, , , ,0,0, , , , 
2477,Calline I,calline i, , ,Calline system,Q-18,0,0,9afc4302c32239c75aa7bb62296990fe0320121f5e7af4ad9c6fd91b27c46fe4,0,0,1,0, , , ,0,0, , , , 
2478,Calline II,calline ii, , ,Calline system,Q-18,0,0,ce6e3a192a9295714c07e8556854c0a302537487d819ca4fe4a4bf4f37044974,0,0,1,0, , , ,0,0, , , , 
2479,Calline III,calline iii, , ,Calline system,Q-18,0,0,7b1baef666ffe3f5b014ff5444e46be2a6721164a717eeebe2930a315a393836,0,0,1,0, , , ,0,0, , , , 
2480,Callonia,callonia,Inner Rim,Fakir sector, ,K-9,0,0,ceaf086187f87b80d608ef6d17858164efa8b69c501bfe03adadfc424425f4ea,0,0,1,0, , , ,0,0, , , , 
2481,Caloria,caloria,Colonies,Tapani sector,Caloria system,L-13,0,0,9ec9c4bf372333b9c094d1ea9b976993e67c92ac8b1082981cb6d1516deadc4b,0,1,1,0, , , ,0,0, , , , 
2482,Camos,camos,Core Worlds,Farlax sector,Utos system,K-10,0,0,365b4e5b358bb09277f2bcf61182d8248618ee32eea05b7f49480a45bc547304,0,0,1,0, , , ,0,0, , , , 
2483,Camson,camson, , , ,K-10,0,0,5a5744980ac0559377b06037dcb8ff4ca5bd667e8d4de337e499fb2ce48d0ee5,0,1,0,0, , , ,0,0, , , , 
2484,Camus IV,camus iv, , , ,Q-4,0,0,23add823f76485dcf2aee45081dfd3c51e0d94ee63933b24c324e6ed0a4a08b6,0,0,1,0, , , ,0,0, , , , 
2485,Canastra IV,canastra iv,Core Worlds, , ,K-10,0,0,3f6f6cf0820c9feed768373c936d5fbaa5faaeb750e10b6af74d11b91e1523ad,0,0,1,0, , , ,0,0, , , , 
2486,Candovant,candovant, , , ,J-13,0,0,e344a4a31868db5f1b53ee46f49311de72afd95122dcf8be28ca73ce957290b7,0,1,0,0, , , ,0,0, , , , 
2487,Canoliss IV,canoliss iv,Outer Rim,Sluis sector,Canoliss system,M-19,0,0,81562686b31b1f3a72c0128abf44efdfc30758b2e1696214bfcd657639dd6bf2,0,0,1,0, , , ,0,0, , , , 
2488,Canti,canti,Colonies,Tapani sector,Canti system,L-13,0,0,3569dd2a8c35e16766e54cf9f4f2dc0cb83cecf41ce39d83afaff47aa31ad1fb,0,0,1,0, , , ,0,0, , , , 
2489,Canyon,canyon,Expansion Region,Montitian Grant sector,Canyon system,J-15,0,0,a6b5d67b0c8871b17e7130f4fb79804c088d6102c441e003f7326c3cc12d7e22,0,0,1,0, , , ,0,0, , , , 
2490,Caprioril,caprioril,Core Worlds,Dolomar sector,Caprioril system,K-9,0,0,232772fb0cf5709c0ba5bc0f392d454b6830a5a0d84fa7cfef10f33c17e9033e,0,0,1,0, , , ,0,0, , , , 
2491,Caprol,caprol,Inner Rim,Callia sector,Vaxal system,N-13,0,0,788c041d9d3be6bd5a3aca646c7d3898d5b9ea0fa5989b5ddc72f716c0ad3dce,0,0,1,0, , , ,0,0, , , , 
2492,Carajam,carajam,Outer Rim, , , ,0,0,98d3648af697847956dd62be609e7e84a41f286590d3336b15eeec571c96a783,0,1,0,0, , , ,0,0, ,mi, , 
2493,Caramm V,caramm v,Talcene sector,Talcene sector,Caramm system,R-8,0,0,258430717427f6a39946054226a0d69bdcfe376def50083cf7f86bcf84d804c2,0,0,1,0, , , ,0,0, , , , 
2494,Cardooine,cardooine,Outer Rim,Jospro sector,Cardooine system,R-7,0,0,afb82dbc1989354539297fe8eb967a835c02006d218e503496b253c7bdf85d75,0,0,1,0, , , ,0,0, , , , 
2495,Cardota,cardota,Core Worlds, ,Hosnian system,R-7,0,0,1be663241c9be22f580397c8f4a55d0abcf37fb1f64e3808c8c075c052566816,0,1,0,0, , , ,0,0, , , , 
2496,Carest 1,carest 1,Inner Rim,Carest system,Carest system,N-8,0,0,8257638d901c3c8ef0a6f3fa67ce16a5d0c24e5f9b89811be3b5e591da606313,0,0,1,0, , , ,0,0, , , , 
2497,Cari,cari,Colonies,Barma sector,Carida system,M-9,0,0,d75e8300d074bfe743677d3394ab00658c73f615255402db3e818515dfa0cdc2,0,0,1,0, , , ,0,0, , , , 
2498,Carnelion IV,carnelion iv, , , , ,0,0,359e33988ea27871561666c1ad60b3888667ef2837c3bae420ea7d893472274e,0,1,0,0, , , ,0,0, ,mi, , 
2499,Carnth,carnth,Mid Rim,M'shinni sector,Carnth system,M-7,0,0,df542402d025609647a3bdf3f74ef4fad5327fb61687a62b10b7e99a8703d634,0,0,1,0, , , ,0,0, , , , 
2500,Carrivar,carrivar,Unknown Regions, ,Carrivar system,G-9,-7064.96,317.33,f69289381764e66189c7abea9ca9aa6c51cd515f85dddbc5f9c9057f3ed48ef2,0,0,1,2, , , ,2.8494687085,-63.4656281443, , ,The Interior,https://starwars.fandom.com/wiki/The_Interior
2501,Carz,carz,Outer Rim,Carz system,Carz system,O-20,0,0,0b50ac1d7261989eca5ec3f6544517b101c90687c5458fdabd3a502e47565e2a,0,0,1,0, , , ,0,0, , , , 
2502,Casna Aure,casna aure,Wild Space, ,Kamino system,S-15,0,0,e88d12a4eb3e910d430bd82417daa5c572daeeaa4c2afba3c627b07cb918f2b4,0,0,1,0, , , ,0,0, , , , 
2503,Casna Besh,casna besh,Wild Space, ,Kamino system,S-15,0,0,1dd0e0d1529387883f9dae6734ccf0e6cd8cdf0b643d4f28d580752b41d1d04d,0,0,1,0, , , ,0,0, , , , 
2504,Castilon,castilon,Outer Rim, ,Castilon system,M-9,0,0,b33895a33eabaa0fbb05fdc0ea5613b2839dd20dee27c7b72dc9c3373a3baf9e,0,1,0,0, , , ,0,0, , , , 
2505,Cathis,cathis,Outer Rim,Sumitra sector, ,K-19,0,0,a722b8abf89b60b7f7b398f5d3332daf11388046dd5fdf5f66db94b8e1e43b75,0,0,1,0, , , ,0,0, , , , 
2506,Cattamascar,cattamascar,Outer Rim,Bakura Sector,Cattamascar system,G-16,-6164.57,-10006.37,33c1d71c8303bb5a40180daa0d2afb153c463093a23df45fa932476d38fae483,0,0,1,2, , , ,-66.4688923793,-55.3772820381, , ,Unknown Regions,https://starwars.fandom.com/wiki/Unknown_Regions
2507,Cauper,cauper,Colonies,Tapani sector,Cauper system,L-13,0,0,845ceb2aeccce8342077d93083c114a379c65c0ba5e8a251bcd3bf16ddb90fd7,0,0,1,0, , , ,0,0, , , , 
2508,Caursito,caursito,Outer Rim, ,Caursito system,K-8,0,0,ae4035cb88bb50f3717bb50f9d56a90426811596864046a4539ac682beb3f054,0,0,1,0, , , ,0,0, , , , 
2509,Cejansij,cejansij,Mid Rim,Halla sector,Cejansiji system,R-9,0,0,1f93766bad639362539e6bf984cedd3ad9b28cd4391220ad19f8709a5ef61805,0,0,1,0, , , ,0,0, , , , 
2510,Ceriun,ceriun,Outer Rim,Nuiri sector,Ceriun system,Q-6,0,0,69e4c9c08f689a2011a67358770fa61488176e7f9e996455b682838eba285e11,0,0,1,0, , , ,0,0, , , , 
2511,CeSai,cesai, , , , ,0,0,ce8ea2981dc3618525f1c0e701f1cd5208fffa722df84380897b64cfd6d8066e,0,1,0,0, , , ,0,0, ,mi, , 
2512,Cesya,cesya,Colonies,Tapani sector,Cesya system,L-13,0,0,ac7c6929b435de6ed66136db615a29ef5ab32ddcbaf5890581ec70775294e1a4,0,0,1,0, , , ,0,0, , , , 
2513,Ceti 597,ceti 597,Mid Rim,Hollan sector,Ceti 597 system,M-7,0,0,668b85a45d7471b658ca3b418e37c30f2f0d201719061c51791deaf72184704c,0,0,1,0, , , ,0,0, , , , 
2514,Ch'manss,ch manss,Mid Rim,Var Hagen sector,Ch'manss system,M-17,0,0,7a59150e7e9ac8296523f01a9808cfe85af09102f80febcfbb90693946fb373e,0,0,1,0, , , ,0,0, , , , 
2515,Chaaktil,chaaktil, , , ,R-16,0,0,be7471aa7992e05639afd8137b902ad33633637c0fceb91390f51fe1f761b761,0,1,0,0, , , ,0,0, , , , 
2516,Chaasch,chaasch,Outer Rim,Suolriep sector,Suolriep system,S-8,0,0,83909bd503dd5698c403144fa2ee21a53caeb4da248b1869ae839f322446f4d8,0,0,1,0, , , ,0,0, , , , 
2517,Chabosh,chabosh,Outer Rim,Bosph sector, ,M-5,0,0,a1f6cd8f3affee88d9115129583c21039fc62694ecba3ccffcdc5171ca9d1b70,0,0,1,0, , , ,0,0, , , , 
2518,Chaila,chaila,Mid Rim,Msst sector,Garos system,P-17,0,0,960e38ea0dab88c9368dc0a4d07e3c3abd18e3eef57e80eac318f7ade45ec73b,0,0,1,0, , , ,0,0, , , , 
2519,Chal Hudda,chal hudda,Outer Rim, , ,P-17,0,0,965b56a9ff7d255954a16a92b86f0466fcab58365cab1d76ae8f5d3de57bc575,0,1,0,0, , , ,0,0, , , , 
2520,Chandar's Folly,chandar s folly,Outer Rim, , ,S-6,0,0,be20505b1d0ab5b19935c0672077ae4c03e39f395000e43550ed2bdc94daf215,0,1,0,0, , , ,0,0, , , , 
2521,Chandel,chandel, , , ,S-6,0,0,c790881be8a2216f2f7045a7a84bdd52062adb02a05967640e7bc46daa032e85,0,1,0,0, , , ,0,0, , , , 
2522,Chanj,chanj, , ,Trebodar system, ,0,0,41ab0f4198b3d7f5b3953cee757db1c8b256f048d07b7d2319118d002c970610,0,0,1,0, , , ,0,0, ,mi, , 
2523,Charenthoth,charenthoth, , , ,N-9,0,0,ef47e510334c99e5a0af1a4bd338210b8afb7708992a8a4a35928aa6b9710a50,0,0,1,0, , , ,0,0, , , , 
2524,Charis,charis,Outer Rim,Kathol sector,charis system,N-13,0,0,81bee207276ccfe03da8ce2f550945a7e0ea95e854ebeac4dc5edbc312e4e5dd,0,0,1,0, , , ,0,0, , , , 
2525,Charmath,charmath,Core Worlds,Farrfin sector,Charmath system,K-9,0,0,2b27d96dfc698cebc451d77429833c04282c9790c06ed255519cab92eaae1077,0,0,1,0, , , ,0,0, , , , 
2526,Charny,charny,Mid Rim,Teraab sector,Ruusan system,P-11,0,0,9585ec61594689403c58c8b9891629aa847d1cddcba195fc2ae942a5a725851d,0,0,1,0, , , ,0,0, , , , 
2527,Chasmeene,chasmeene, , , ,O-9,0,0,0ccda0bd77fa61f04b3c51c09dc38149461f8fc511f4090a9404cb899c990541,0,1,0,0, , , ,0,0, , , , 
2528,Chateuse VII,chateuse vii,Outer Rim,Tungra sector,Chateuse system,K-19,0,0,e7bc5859a7f3be3f92e95fbbb1b0eaa0c077cab3379709b791c16ee15918ae27,0,0,1,0, , , ,0,0, , , , 
2529,Chav,chav,Outer Rim,Quelii sector,Dathomir system,O-6,0,0,7da2062b7ecd18574e7bb61c92733ea03efd0c7ab9409faeb1c5841d19a6f53f,0,0,1,0, , , ,0,0, , , , 
2530,Cheeyoom Matee,cheeyoom matee,Core Worlds, ,Cheeyoom Matee system,K-9,0,0,68e9e7c8fcb94a532e4a64e6eb75810721f42ae05094c295387cf2abe2848fe3,0,0,1,0, , , ,0,0, , , , 
2531,Chel,chel,Deep Core,Deep Core Security Zone,Beshqek system,K-11,0,0,58e62db511e06a3053638668589445cef1803b9291a57d32e8bc36a0a3b13abe,0,0,1,0, , , ,0,0, , , , 
2532,Chirgay,chirgay,Outer Rim,Quelii sector,Dathomir system,O-6,0,0,3ddb5b08eff62ce92c17c6432adab9114c7dbb3bb770d45c2a8e2406ed4ffc47,0,0,1,0, , , ,0,0, , , , 
2533,Chirrion Base,chirrion base,Outer Rim,Rolion Sector, ,Q-6,8244.03,5178.13,75fbe43b199b119dfcbbca94482f1ecbe4316d1fa60e22e6e2563d4f32c1ed0a,0,0,1,3, , , ,42.1144152475,74.0573903937, , ,New Territories,https://starwars.fandom.com/wiki/New_Territories
2534,Choi,choi,Inner Rim, ,Choi system,M-13,0,0,318bd3d325316ec79cea0644b26b25e2d2d93a2294235208d93bf257b0f87386,0,0,1,0, , , ,0,0, , , , 
2535,Chommell Minor,chommell minor,Mid Rim,Chommell sector,Chommell Minor system,O-17,0,0,3ce999587eb8dadf185f1ac0811d303fc2b70781bf1749b88a6321949d825627,0,0,1,0, , , ,0,0, , , , 
